Nazwa|Cena|Stan nieruchomości|Pow. całkowita|Pow. użytkowa|Piętro|Liczba pięter|Liczba poziomów mieszkania|Typ kuchni|Liczba łazienek|Pow. łazienki|łazienka razem z WC|Balkon|Taras|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Stan budynku|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Inwestycja|Pow. ogródka|Liczba sypialni|Pow. tarasu|Pow. loggii|Wysokość wnętrza|Stolarka okienna|Pow. balkonu|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Pow. działki|Lokalizacja garażu
4 pokoje w Oruni|745 000 zł|Wysoki standard|64,26 m²|||3||Kuchnia zamykana z oknem|||||Tak|Wtórny||Własność||Blok mieszkalny|Cegła|2005||Ogrzewanie miejskie|08.02.2024|16.03.2024|morizon-SOLO680|154|0||||||260 cm||||||||
Mieszkanie 72m2 Gdańsk Wrzeszcz|749 000 zł||72 m²||3/4|4||||||||Wtórny||||Kamienica||1951||Co Miejskie|14.06.2023|05.04.2024|morizon-984332|662|0||||||||||||||
Gdańsk Morena - 3 pokoje z balkonem - bez prowizji|750 473 zł||57,29 m²||4/4|4||||||||Wtórny||||||2025|||19.03.2024|03.04.2024|morizon-HEX994208|37|0|||2|||||||||||
Widok na morze, oddzielna duża kuchnia|780 000 zł|DO REMONTU|60 m²||10/10|10||ODDZIELNA|1|||Tak||Wtórny|2024-02-02|WŁASNOŚĆ||WIEŻOWIEC|WIELKA PŁYTA|1980||C.O. Z SIECI MIEJSKIEJ|18.02.2024|22.03.2024|morizon-230/9142/OMS|604|0||||||||||||||
Przestronny szereg z ogródkiem na Jasieniu|789 000 zł||92,48 m²|||1|||||||Tak|Pierwotny|2026-04-30|||||2026|||30.01.2024|05.03.2024|morizon-OF853793|130|0|||3|||||||||||
Okazja|790 000 zł||48 m²||6/8|8||Osobna|1||Nie|Tak|Nie|Wtórny||Własność||||2015|Dobry|C.o. miejskie|22.02.2024|05.04.2024|morizon-KM08455|117|0||||||||||||||
3 pokoje z dwoma balkonami, dwoma miejscami w hali|790 000 zł||75,67 m²||2/4|4|1|||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Konstrukcja żelbetowa|2020||Co Miejskie|12.02.2024|29.02.2024|morizon-PAN232247|217|0||||||||||||||
Luksusowe mieszkanie z balkonem|799 000 zł||61,73 m²||4/4|4||||||Tak||Wtórny|2024-02-06|||Blok Mieszkalny|Silikat|2021||Co Miejskie|08.01.2024|10.04.2024|morizon-191212|133|0|||2|||||||||||
Dwa pokoje blisko morza-Trzy Żagle|809 000 zł||47 m²||12/15|15||||||||Wtórny|||Na wyłączność|Apartamentowiec||2011||Co Miejskie|27.10.2023|05.03.2024|morizon-TY735626|558|0||||||||||||||
Komfortowe czteropokojowe mieszkanie z halą gar|850 000 zł||72,77 m²||3/4|4|1|||||||Wtórny|2024-01-05||Na wyłączność|Blok Mieszkalny|Pustak|2006||Co Miejskie|09.01.2024|07.04.2024|morizon-DH237551|374|0|||3|||||||||||
Nowe Osiedle, Komfortowe Mieszkanie, Morena|854 439 zł||61,23 m²||4/4|4||||||Tak||Pierwotny||||Blok Mieszkalny||2025||Co Miejskie|28.11.2023|29.02.2024|morizon-908249|82|0|||2|||||||||||
Mieszkanie 3 pokojowe w świetnej lokalizacji|869 000 zł||66 m²||1/4|4||||||Tak||Wtórny|||Na wyłączność|||2004|||04.01.2024|19.03.2024|morizon-OF944582319|439|0|||2|||||||||||
Osiedle Gardenia-wysoki standard-spokojna okolica|875 000 zł||70,70 m²||5/5|5||||||Tak||Wtórny||||Blok Mieszkalny||2010||Co Miejskie|08.12.2023|06.03.2024|morizon-CP806728|190|0|||2|||||||||||
PRZESTRONNE MIESZKANIE, IDEALNE DLA RODZINY|880 000 zł||78 m²|63 m²|4/4|4||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|2018||Co Miejskie|08.02.2024|18.02.2024|morizon-PAN315698|87|0|||3|||||||||||
Najtańszy apartament tuż przy Starym Mieście|379 343 zł|DO WYKOŃCZENIA|25,85 m²||3/4|4||||||||Pierwotny|2024-12-30|||APARTAMENTOWIEC|PUSTAK|2024||C.O. Z SIECI MIEJSKIEJ|27.03.2024|27.03.2024|morizon-418/8114/OMS|132|0||||||||||||||
Mieszkanie z poddaszem w pięknej kamienicy|909 000 zł||60,78 m²||3/3|3||||||||Wtórny|||Na wyłączność|Kamienica||1920||Gazowe|21.02.2024|23.02.2024|morizon-DH894384|96|0|||2|||||||||||
3 pokojowe mieszkanie w Gdańsku, w doskonałej lokalizacji|939 000 zł|Wysoki standard|78,26 m²|||4|1|Półotwarta|1||Tak||Tak|Wtórny||Własność|Na wyłączność|Blok|Pustak|2019|Bardzo dobry|Gazowe|05.01.2024|09.04.2024|morizon-10|284|0||154 m²||||||||Tak||||
Trzy pokoje z balkonem, 2 km od centrum Gdańska|961 232 zł||58,26 m²|56,78 m²|2/5|5|1|||||Tak||Pierwotny|2025-03-31||||Cegła|2025|||20.03.2024|25.03.2024|morizon-WH551256|41|0||||||||||||||
-Nowy apartament, Centrum Gdańska-|968 886 zł|Deweloperski|56,66 m²|||||||||Tak||Pierwotny||||Apartamentowiec|||||08.03.2024|08.03.2024|morizon-BHN-MS-4118|39|0||||||||5,47 m²||||||
Gdańsk dzielnica Aniołki|988 560 zł|DO WYKOŃCZENIA|54,92 m²||1/2|2||ANEKS KUCHENNY||||||Pierwotny|2024-12-16|WŁASNOŚĆ||NISKI BLOK|MIESZANY|2024||C.O. Z SIECI MIEJSKIEJ|08.02.2024|02.04.2024|morizon-233/9142/OMS|93|0||||||||||||||
Niepowtarzalna inwestycja na Gdańskim Wybrzeżu|1 080 000 zł||39,74 m²||3/3|3||||||Tak||Wtórny||||Apartamentowiec||2023||Co Miejskie|23.08.2023|26.02.2024|morizon-691537|267|0||||||||||||||
nowe mieszkanie do odbioru blisko UCM, Śródmieścia|1 092 150 zł||72,81 m²|||7|||||||Tak|Pierwotny|2024-10-01|||Blok Mieszkalny||2024||Co Miejskie|21.02.2024|21.02.2024|morizon-DH381838|63|0|||2|||||||||||
mieszkanie 3 balkony , 2 m.w hali garażowej|1 150 000 zł||114,60 m²||3/4|4|2|||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|2011||Co Własne|14.03.2024|22.03.2024|morizon-PAN421234|64|0||||||||||||||
Stare Miasto, 3 pokoje, gotowe do wejścia|1 230 000 zł||53,40 m²||1/5|5||||||Tak|Nie|Wtórny|||Na wyłączność|Apartamentowiec|Inne|2022||Co Miejskie|24.04.2023|03.04.2024|morizon-PAN734664|856|0||||||||||||||
"Apartament 2-pokojowy| Oliwa |"|1 246 157 zł|Deweloperski|51,93 m²||1/3|3||||||Tak||Pierwotny||||Apartamentowiec||2024|||08.03.2024|25.03.2024|morizon-BHN-MS-4116|70|0|||1|||||||||||
Opis nieruchomości|1 249 000 zł||75,73 m²|||4||||||||Wtórny||||Blok Mieszkalny||2021||Co Miejskie|27.11.2023|20.03.2024|morizon-PH468751|339|0|||3|||||||||||
Mieszkanie inwestycyjne 2w1 przy marinie Gdańskiej|1 250 000 zł||65 m²||4/6|6|1|||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny|YTong|2019||Co Miejskie|17.01.2024|27.03.2024|morizon-WH578604|170|0||||||||||||||
15 piętro! Widok na morze! Odbiór na wiosnę|1 353 990 zł||82,06 m²||15/17|17|1|||||||Wtórny|2024-04-01||Na wyłączność|Apartamentowiec|Cegła|2024||Co Miejskie|14.11.2023|10.02.2024|morizon-K3N350915|72|0|||3|||||||||||
Atrakcyjne, 3-pokojowe z panoramicznym widokiem|1 359 000 zł||84,50 m²||3/4|4|1|||||Tak||Wtórny|2024-02-27|||Apartamentowiec||2011||Co Miejskie|26.02.2024|04.03.2024|morizon-935879|102|0||||||||||||||
3 pokoje w centrum miasta, wysoki standard, HG|1 399 000 zł||60 m²||2/5|5||||||Tak||Wtórny||||Apartamentowiec||2019|||14.03.2024|30.03.2024|morizon-HEX276433|41|0|||2|||||||||||
Nowe mieszkanie SCALA w Centrum Gdańska|1 430 000 zł|Bardzo dobry|59,57 m²||1/4|4||||||Tak||Wtórny||||||2023|||21.03.2024|21.03.2024|morizon-BHN-MS-4138-5|64|0|||||||||780|||||
Wyspa Spichrzów-lokal idealny do podziału|1 442 949 zł||72,51 m²||5/7|7||||||||Wtórny|2024-07-30||Na wyłączność|Apartamentowiec||2024||Co Miejskie|20.02.2024|06.03.2024|morizon-DH881082|121|0||||||||||||||
4 pokoje! Taras 42m2 Przy plaży i parku|1 830 000 zł||109 m²||5/5|5|1||||||Tak|Wtórny||||Apartamentowiec||2022|||11.01.2024|04.03.2024|morizon-DH370532|188|0||||||||||||||
Luksusowy apartament DEO PLAZA|1 995 000 zł||58 m²||1/6|6|1|||||||Wtórny|||Na wyłączność|Apartamentowiec|YTong|2019||Co Miejskie|18.09.2023|08.04.2024|morizon-WH449292|266|0|||1|||||||||||
Elegancki Apartament przy plaży|2 200 000 zł||74,53 m²||2/3|3|1|||||Tak||Wtórny|||Na wyłączność|||2006||Co Miejskie|24.08.2023|06.04.2024|morizon-EC367239|665|0|||1|||||||||||
Kawalerka na Siedlcach|340 000 zł||33,08 m²||1/2|2||||||Nie|Nie|Wtórny||||Kamienica|Cegła|1950||Gazowe|02.04.2024|03.04.2024|morizon-PAN626059|202|0||||||||||||||
Układ pod dwa pokoje- spółdzielcze z KW- centrum|399 000 zł||30,94 m²||9/10|10||||||||Wtórny||||Blok Mieszkalny||1977||Co Miejskie|24.01.2024|03.04.2024|morizon-CP376908|131|0||||||||||||||
"2 pokoje | Wysoki standard | Nowe"|489 000 zł||32,80 m²||1/3|3||||||Tak||Wtórny|2024-01-08|||Blok Mieszkalny|Silikat|2023||Co Miejskie|08.01.2024|03.04.2024|morizon-AG287632|255|0|||1|||||||||||
OKAZJA! mieszkanie/Żabianka/przy morzu|499 000 zł||36,60 m²||6/10|10||ODDZIELNA|1|||Tak||Wtórny|2023-12-20|WŁASNOŚĆ||WIEŻOWIEC||1977||C.O. Z SIECI MIEJSKIEJ|21.12.2023|05.03.2024|morizon-298/9733/OMS|582|0||||||||||||||
PROMOCJA Mieszkanie premium wykończone pod klucz|520 000 zł||37 m²|||4||||||||Wtórny||||Blok Mieszkalny||2023||Co Miejskie|07.12.2023|05.04.2024|morizon-PH627594|243|0|||1|||||||||||
Mieszkanie 2 pok. w stanie deweloperskim|520 000 zł||50,50 m²||5/5|5||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|2023||Co Miejskie|21.11.2023|09.04.2024|morizon-PAN440307|334|0||||||||||||||
Sprzedam mieszanie dwupokojowe blisko Centrum|560 000 zł|Do remontu|44,57 m²||1/3|3||Osobna|||Tak|||Wtórny||Własność|||Cegła|1946|||11.03.2024|18.03.2024|morizon-gratka-33689359|221|0||||||||||||||
Kup bez wkładu własnego Gotowa Inwestycja Promocja|581 500 zł||57,65 m²||4/4|4||||||Tak||Pierwotny||||Blok Mieszkalny||2025||Co Miejskie|10.01.2024|21.03.2024|morizon-576241|64|0|||2|||||||||||
Zaspa/ Piękny Widok/ 2 pokoje|599 000 zł||48,20 m²||10/10|10|1|||||||Wtórny|2024-03-05|||Blok Mieszkalny||1980||Co Miejskie|05.03.2024|20.03.2024|morizon-633248|237|0|||1|||||||||||
Nowe Osiedle, Kompaktowe Mieszkanie, Morena|632 912 zł||44,17 m²||1/4|4||||||Tak||Pierwotny||||Blok Mieszkalny||2025||Co Miejskie|28.11.2023|29.02.2024|morizon-867222|90|0|||1|||||||||||
Gotowy apartament w sercu miasta! Inwestycja|645 000 zł||40 m²||2/4|4||||||Nie|Nie|Wtórny||||Kamienica|Cegła|1897||Gazowe|14.09.2022|02.04.2024|morizon-PAN732636|2 415|0||||||||||||||
"3 pokoje | balkon | garderoba | 77m2 | dwupoziomowe"|649 000 zł|Bardzo dobry|77 m²||3/3|3||Aneks kuchenny|1|||||Wtórny||Własność||||2015|||20.03.2024|27.03.2024|morizon-525370|122|0||||||||||||||
Zakochaj się w Gdańsku! 2 pokojowe mieszkanie, w pobliżu centrum Gdańska|665 715 zł|Do wykończenia|40,58 m²||1/6|6||Aneks|1|4,35 m²|Tak|Tak|Nie|Pierwotny|2025-12-01|Własność||Blok|Zróżnicowany|2025|Rozpoczęta budowa|Miejskie|30.01.2024|05.04.2024|morizon-60|102|0||||||260 cm||4,50 m²||||||
Cicha lokalizacja w centrum Starego Miasta|685 000 zł||54,30 m²||3/3|3|1|||||||Wtórny|||||||||29.03.2024|29.03.2024|morizon-BN151546|37|0|||2|||||||||||
3 pokoje z balkonem - odbiór II kw. 2024|692 639 zł||57,63 m²||1/4|4||||||Tak||Pierwotny|2024-06-30|||Apartamentowiec||2024||Co Miejskie|18.12.2023|24.03.2024|morizon-DH262704|137|0||||||||||||||
Najtańszy apartament tuż przy Starym Mieście|379 343 zł|DO WYKOŃCZENIA|25,85 m²||3/4|4||||||||Pierwotny|2024-12-30|||APARTAMENTOWIEC|PUSTAK|2024||C.O. Z SIECI MIEJSKIEJ|27.03.2024|27.03.2024|morizon-418/8114/OMS|132|0||||||||||||||
Nowe, komfortowe mieszkanie pod klucz|699 000 zł||47,17 m²||4/4|4||||||Tak||Wtórny|2023-12-20|||Blok Mieszkalny|Silikat|2021||Co Miejskie|20.12.2023|10.04.2024|morizon-364447|108|0|||1|||||||||||
Matarnia. Ogródek. Taras. Szybkie wydanie|710 000 zł||56 m²|||3||Osobna|1|||Nie|Nie|Wtórny||Własność||||1994|Bardzo dobry|C.o. miejskie|01.03.2024|21.03.2024|morizon-HA015355|87|0|||||13 m²|||13 m²||||||
"Wykończone pod klucz w Cenie | Ogród z Tarasem"|759 000 zł||58,69 m²|||3|||||||Tak|Pierwotny|2023-12-31|||Blok Mieszkalny||2023||Co Miejskie|26.02.2024|20.03.2024|morizon-HEX927646|72|0|||2|||||||||||
Kawalerka inwestycyjnie, blisko Starego Miasta|775 000 zł||35,50 m²||4/4|4||||||||Wtórny|||Na wyłączność|||2020|||14.02.2024|30.03.2024|morizon-HEX804733|133|0|||1|||||||||||
Kamienica w enklawie rzeki i zieleni|795 000 zł||54 m²|||2||||||Nie|Nie|Wtórny||||Kamienica|Cegła|1902||Gazowe|17.01.2024|14.03.2024|morizon-PAN811812|516|0|||1|||||||||||
Słoneczne 3 pokoje nad morzem|797 760 zł|DO WYKOŃCZENIA|49,86 m²||3/17|17||ANEKS KUCHENNY|1|||Tak||Pierwotny|2024-05-01||||MIESZANY|2023||C.O. Z SIECI MIEJSKIEJ|03.01.2024|22.03.2024|morizon-219/9142/OMS|51|0||||||||||||||
Apartament w sercu Gdańska|810 600 zł||38,60 m²||2/3|3|1|||||||Wtórny|2024-01-08|||||2020|||23.12.2023|29.03.2024|morizon-LDK869472|329|0||||||||||||||
"Mieszkanie 3 pokojowe | balkon | parter | Chełm Gdańsk"|850 000 zł|Dobry|65,80 m²|||4||Jasna, oddzielna|1|||||Wtórny||Własność|||Pustak|1998|||25.03.2024|05.04.2024|morizon-525371|48|0||||||||||||||
2 POKOJE W NOWEJ INWESTYCJI|871 759 zł||40,81 m²||2/3|3||||||||Wtórny|||||||||19.03.2024|26.03.2024|morizon-HEX675137|57|0||||||||||||||
Gdańsk Morena - 4 pokoje z balkonem, bez prowizji|881 944 zł||80,12 m²||1/4|4||||||||Wtórny||||||2025|||19.03.2024|03.04.2024|morizon-HEX283468|36|0|||3|||||||||||
Inwestycja na Starym Mieście|888 800 zł||45,90 m²||1/8|8|1|Aneks|1|5,73 m²|Tak|Nie|Tak|Pierwotny|2024-03-31|Własność||Apartamentowiec|Zróżnicowany|2024|Bardzo dobry|Miejskie|12.11.2023|10.02.2024|morizon-46|235|0||31 m²||5,55 m²||260 cm||||||||
Gotowe do zamieszkania, podziemny parking w cenie|899 000 zł||49 m²|||3||||||Tak||Wtórny||||Blok Mieszkalny|Konstrukcja żelbetowa|2005||Co Miejskie|20.09.2023|10.04.2024|morizon-639764|115|0||||||||||||||
Mieszkanie Gdańsk Wrzeszcz piękny widok|950 000 zł||52,20 m²||9/16|16||||||||Wtórny|2024-03-11|||Apartamentowiec|Konstrukcja mieszana|2011||Co Miejskie|11.02.2024|11.03.2024|morizon-DH909073|204|0|||1|||||||||||
2-pokojowe mieszkanie blisko plaży po remoncie|960 000 zł||47,35 m²||1/4|4|1|||||Tak||Wtórny|2023-08-30|||Blok Mieszkalny||2019||Co Miejskie|08.05.2023|10.04.2024|morizon-495165758|238|0|||1|||||||||||
4 pokojowe mieszkanie na kameralnym osiedlu|970 000 zł||79,33 m²||3/3|3||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|2005||Co Miejskie|12.07.2023|02.04.2024|morizon-PAN723507|831|0||||||||||||||
Przestronne 5 pokoi w cichej okolicy|999 000 zł||90,30 m²|||2||||||Tak|Tak|Wtórny||||Blok Mieszkalny|Inne|1993||Co Miejskie|08.02.2024|22.02.2024|morizon-PAN119387|213|0|||4|||||||||||
3 Pokoje Na Letnicy - 12 Piętro|1 150 000 zł|DO WYKOŃCZENIA|63 m²|||||ANEKS KUCHENNY|1|||||Pierwotny|||||||||29.02.2024|03.04.2024|morizon-1731/13290/OMS|42|0||||||||||||||
Piękne, urokliwe 4-pok. z duszą w sercu Wrzeszcza|1 230 000 zł||97,92 m²||2/2|2||||||Nie|Nie|Wtórny||||Kamienica|Cegła|1900||Gazowe|17.07.2023|08.04.2024|morizon-PAN775443|725|0|||3|||||||||||
Apartament 2 pokojowy w samym sercu Gdańska|1 299 000 zł||61,69 m²||4/5|5||||||Tak||Wtórny|2023-11-16|||Apartamentowiec|Cegła|2016||Co Miejskie|16.11.2023|22.02.2024|morizon-176869|459|0|||1|||||||||||
"Apartament Gdańsk Oliwa | Gotowy do odbioru"|1 402 052 zł||70,51 m²|||3||||||||Pierwotny||||||2023|||31.01.2024|31.03.2024|morizon-757408|108|0||||||||||||||
PRESTIŻOWA LOKALIZACJA 3-pokoje na Oliwie|1 619 000 zł||77 m²||3/3|3|||||||Tak|Wtórny||||Apartamentowiec||2022|||05.07.2022|08.04.2024|morizon-AG569367|1 382|0|||1|||||||||||
Wyjątkowy apartament przy Marinie 3 pok. Szafarnia|1 980 000 zł||76,50 m²||1/5|5||||||Tak|Nie|Wtórny||||Apartamentowiec|YTong|2008||Co Miejskie|07.02.2024|11.03.2024|morizon-PAN517530|194|0||||||||||||||
Wyjątkowe, duże, komfort mieszkania jak w domu|2 440 000 zł||146 m²|||2||||||Tak|Tak|Wtórny|||Na wyłączność|Dom Wielorodzinny|Porotherm|2007||Co Miejskie|07.02.2024|27.02.2024|morizon-PAN537384|204|0|||4|||||||||||
Kawalerka Gdańsk oddzielna kuchnia patio|299 000 zł||26 m²|||2||||||||Wtórny||||Kamienica|Cegła|1900||Gazowe|15.02.2024|21.03.2024|morizon-PH363122|239|0||||||||||||||
Kawalerka/Blisko Śródmieścia|400 000 zł||30,94 m²||9/10|10|1|||||||Wtórny|2024-02-28|||Blok Mieszkalny||1977||Co Własne|28.02.2024|07.04.2024|morizon-784341|110|0|||1|||||||||||
"2 pokoje z dwoma tarasami | wyjątkowa wysokość"|435 000 zł||35,70 m²||4/4|4||||||Tak|Tak|Wtórny|||Na wyłączność|Blok Mieszkalny|Porotherm|2023||Co Miejskie|01.03.2024|01.03.2024|morizon-HEX339668|266|0||||||||||||||
Nowo wykończona kawalerka z miejscem w hali|450 000 zł||27,20 m²||1/4|4||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|2021||Co Miejskie|17.02.2024|09.04.2024|morizon-PAN817240|179|0||||||||||||||
KAWALERKA 27 m2 CHŁOPSKA PRZYMORZE GDAŃSK|459 000 zł||27 m²||2/4|4||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|1980||Co Miejskie|13.02.2024|22.03.2024|morizon-PAN728116|398|0||||||||||||||
Dwa Pokoje w centrum - Spółdzielczo-Własnościowe|490 000 zł|Normalny|39 m²||4/4|4||Kuchnia zamykana z oknem||||Tak||Wtórny||Spółdzielcza własnościowa bez KW|Na wyłączność|Blok mieszkalny|Wielka płyta|1988||Ogrzewanie miejskie|23.01.2024|24.03.2024|morizon-XUCO815|469|0||||||||||||||
Komfortowy dwupokojowy apartament z ogródkiem|529 000 zł||37 m²|||4|||||||Tak|Wtórny||||||2022|||30.01.2024|13.03.2024|morizon-496113|140|0|||1|||||||||||
Mieszkanie 2 pokojowe Gdańsk Przymorze|549 000 zł||46 m²||9/10|10||||||Tak||Wtórny|2024-03-12|||||1973|||13.03.2024|14.03.2024|morizon-TH279038|184|0||||||||||||||
2 pokoje gotowe do wprowadzenia|549 000 zł|WYSOKI STANDARD|41,08 m²||1/4|4||ANEKS KUCHENNY|1|||Tak||Wtórny||WŁASNOŚĆ||NISKI BLOK||2020|||01.03.2024|03.04.2024|morizon-2100/13290/OMS|96|0||||||||||||||
3 pokoje z balkonem|549 000 zł||50,27 m²||2/3|3||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|2008||Co Miejskie|09.02.2024|09.02.2024|morizon-PAN306456|418|0||||||||||||||
Słoneczne 3 pokoje - parking -świetna komunikacja|550 000 zł||52,97 m²||3/4|4||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|1977||Co Miejskie|22.08.2023|08.04.2024|morizon-PAN274808|702|0|||2|||||||||||
DO REMONTU Z DUŻYM POTENCJAŁEM|559 000 zł||61,15 m²||2/3|3||||||Nie|Nie|Wtórny||||Kamienica|Cegła|1906||Gazowe|11.11.2023|28.03.2024|morizon-PAN421533|635|0|||2|||||||||||
Mieszkanie czteropokojowe w kamienicy|1 080 000 zł|Bardzo dobry|80 m²||1/2|2|2|Aneks|2|4,50 m²|Tak|Nie|Tak|Wtórny|2024-03-27|Własność|Na wyłączność|Kamienica|Pustak||Bardzo dobry|Elektryczne|27.03.2024|03.04.2024|morizon-232|52|0||||9 m²||250 cm||||||||
Atrakcyjne 2 pokojowe na Starówce Gdańsk|578 000 zł|WYSOKI STANDARD|31,20 m²||1/4|4||ANEKS KUCHENNY|1|||Tak||Wtórny||||KAMIENICA|CEGŁA|1950||C.O. Z SIECI MIEJSKIEJ|21.03.2024|08.04.2024|morizon-1941/13290/OMS|51|0||||||||||||||
Kompaktowe mieszkanie z tarasem - Cichy Zakątek|578 160 zł||48,18 m²||3/4|4|1||||||Tak|Pierwotny|2025-03-30|||Blok Mieszkalny|Silikat|2024||Co Miejskie|28.02.2024|28.02.2024|morizon-HEX457466|59|0||||||||||||||
Mieszkanie w Gdańsku, nowe, do wprowadzenia|580 000 zł||43,55 m²||3/4|4||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|2022||Co Miejskie|28.12.2023|23.03.2024|morizon-PAN334354|328|0||||||||||||||
TUŻ PRZY TRAMWAJU! CENTRUM MIASTA|589 000 zł||53 m²||6/10|10||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Wielka płyta|1970||Co Miejskie|08.12.2023|10.04.2024|morizon-PAN650168|548|0|||2|||||||||||
Apartament gotowy na wynajem BASTION WAŁOWA|595 000 zł||30 m²|29,67 m²|3/5|5||||||Nie|Nie|Wtórny||||Apartamentowiec|Pustak|2021||Co Miejskie|15.03.2023|09.04.2024|morizon-PAN653456|809|0||||||||||||||
Tylko u Nas! Brak PCC, Parter 2 pokoje|605 935 zł||52,69 m²|||2|1|||||||Wtórny|2024-01-01|||Blok Mieszkalny||2022||Gazowe|15.12.2023|27.03.2024|morizon-R-866042|554|0|||1|||||||||||
Zadbane 3 pokoje w doskonałej lokalizacji|629 000 zł||60,19 m²||1/4|4||||||Tak||Wtórny|2024-01-24||Na wyłączność|Blok Mieszkalny||1991||Co Miejskie|24.01.2024|06.03.2024|morizon-HEX643867|258|0|||2|||||||||||
RAJSKA- CENTRUM MIASTA|629 000 zł||44,63 m²||4/4|4||||||Nie|Nie|Wtórny||||Kamienica|Cegła|1960||Co Miejskie|02.12.2023|28.03.2024|morizon-PAN244119|429|0|||1|||||||||||
Mieszkanie 4 pok. w stanie deweloperskim|650 000 zł||69,89 m²||3/5|5||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|2023||Co Miejskie|21.11.2023|09.04.2024|morizon-PAN802202|282|0||||||||||||||
Mieszkanie 3 pok. w stanie deweloperskim|650 000 zł||66,14 m²||5/5|5||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|2023||Co Miejskie|21.11.2023|09.04.2024|morizon-PAN207176|211|0||||||||||||||
"inwestycyjnie | blisko Westerplatte | 2 pokoje"|679 000 zł||49,50 m²||3/4|4||||||Tak||Wtórny|2024-03-31|||Blok Mieszkalny|Wielka płyta|1970||Co Miejskie|09.02.2024|14.02.2024|morizon-991819|228|0||||||||||||||
Mieszkanie Gdańsk ul. Konrada Guderskiego z ogródkiem i miejscem postojowym|689 900 zł||69 m²|||4||Aneks|||Nie||Tak|Wtórny|2024-06-01|Własność||Dom wielorodzinny|Silikat|2012|||01.12.2023|27.03.2024|morizon-gratka-32662983|633|0||||||||||||||
Apartament przy Plaży Gdańsk Trójmiasto|698 000 zł||42 m²||9/10|10||||||||Pierwotny|||||||||07.03.2024|07.03.2024|morizon-125788|50|0|||1|||||||||||
Wykończone 3 pokojowe mieszkanie wolne od zaraz|699 000 zł||60,76 m²|||5||||||Nie|Nie|Wtórny||||Blok Mieszkalny|Konstrukcja mieszana|2023||Co Miejskie|31.01.2024|29.02.2024|morizon-PAN223869|153|0||||||||||||||
Słoneczne, skomunikowane trzypokojowe mieszkanie|699 000 zł|Normalny|57,32 m²||2/5|5||||||Tak||Wtórny||Własność|Na wyłączność|Blok mieszkalny|Ytong|2015||Ogrzewanie miejskie|24.01.2024|10.03.2024|morizon-SUTI745|270|0||||||||||||||
"3 pokoje | Żabianka | świetna lokalizacja"|700 000 zł||52,60 m²||4/4|4||||||Tak||Wtórny|2024-08-01|||||1973|||21.12.2023|28.03.2024|morizon-838382|427|0|||2|||||||||||
mieszkanie 2 pokoje 56m Gdańsk Śródmieście sprzedam|720 000 zł|Do odświeżenia|56,60 m²||1/3|3|1|Osobna|1||Tak|Nie|Nie|Wtórny|2024-03-08|Własność||Kamienica|Cegła|1910|Dobry|Gazowe|08.03.2024|08.03.2024|morizon-129|137|0||||||300 cm||||||||
Penthouse z widokiem na Stare Miasto|751 762 zł||37,59 m²|36,62 m²|4/5|5|1|||||Tak||Pierwotny|2025-03-31||||Cegła|2025|||20.03.2024|19.03.2024|morizon-WH269127|36|0||||||||||||||
Mieszkanie 41,74 m2,2pok.,ogród 33m Gdańsk-Siedlce|759 668 zł||41,74 m²|||2|1|||||||Pierwotny||||Blok Mieszkalny||||Co Miejskie|25.01.2024|25.01.2024|morizon-DJ112816|70|0||||||||||||||
Dostępność od ręki, 3 osobne sypialnie|760 000 zł||79,36 m²||2/3|3|1|||||Tak||Wtórny|2024-01-01||Na wyłączność|Blok Mieszkalny|YTong|2015||Co Miejskie|20.12.2023|24.03.2024|morizon-R-176570|378|0||||||||||||||
3 pok po remoncie 2p/4p niski blok 1 km odMorza|769 000 zł||54 m²||2/4|4||||||||Wtórny||||Blok Mieszkalny|Wielka płyta|1970||Co Miejskie|04.04.2024|04.04.2024|morizon-AG399952|34|0||||||||||||||
Mieszkanie w centrum Wrzeszcz|799 000 zł||78 m²||1/3|3||||||||Wtórny|||Na wyłączność|||1903|||19.03.2024|19.03.2024|morizon-EC111111406154|310|0||||||||||||||
